title,description,price,number_of_rooms,apartment_size_sqm,address,zip_code,city,latitude,longitude,publisher
Geräumige 3-Zimmer-Mietwohnung in Opfikon,Gepflegte Wohnung in sehr gutem Zustand. Frisch renoviert und neu gestrichen. Lift im Gebäude vorhanden. Ruhige Wohnlage im Quartier.,2140.0,3.0,82.5,Freiestrasse 145,8152,Opfikon,47.422237,8.573908,UBS Real Estate
Geräumige 3.5-Zimmer-Apartment in Rümlang,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Parkplatz kann dazugemietet werden. Schöne Aussicht auf die Umgebung. Lift im Gebäude vorhanden. Kindergarten und Schule in unmittelbarer Nähe. Südausrichtung mit viel natürlichem Licht.,2080.0,3.5,64.3,Rämistrasse 121,8153,Rümlang,47.449798,8.537436,Livit AG
2.5-Zimmer-Wohnung in Embrach,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Südausrichtung mit viel natürlichem Licht. Frisch renoviert und neu gestrichen. Ruhige Lage, trotz stadtnaher Position.",1480.0,2.5,58.3,Mutschellenstrasse 116,8424,Embrach,47.499421,8.599989,Helvetia Immobilien
Renovierte 4-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Schöne Aussicht auf die Umgebung. Ideale Verkehrsanbindung. Einkaufsmöglichkeiten fussläufig erreichbar. Gute Anbindung an öffentliche Verkehrsmittel.,2730.0,4.0,85.2,Jupiterstrasse 119,8037,Zürich,,8.531716,Wincasa AG
3-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Parkplatz kann dazugemietet werden. Südausrichtung mit viel natürlichem Licht. Kindergarten und Schule in unmittelbarer Nähe. Frisch renoviert und neu gestrichen. Ruhige Wohnlage im Quartier.,2900.0,3.0,79.9,Josefstrasse 129,8032,Zürich,47.365416,8.550301,Homegate
Renovierte 4.5-Zimmer-Apartment in Birmensdorf,Gepflegte Wohnung in sehr gutem Zustand. Tiefgaragenplatz kann dazugemietet werden. Lift im Gebäude vorhanden. Balkon mit schöner Aussicht vorhanden. Grosszügiger Keller inklusive.,3030.0,4.5,111.4,Bellerivestrasse 113,8903,Birmensdorf,47.360072,8.426964,Procimmo
Geräumige 2.5-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Südausrichtung mit viel natürlichem Licht. Kindergarten und Schule in unmittelbarer Nähe. Frisch renoviert und neu gestrichen.,2780.0,2.5,77.6,Heinrichstrasse 14,8032,Zürich,47.368827,8.554101,Procimmo
Zentral gelegene 3-Zimmer-Mietwohnung – Winterthur,Gepflegte Wohnung in sehr gutem Zustand. Einstellplatz kann dazugemietet werden. Lift im Gebäude vorhanden. Südausrichtung mit viel natürlichem Licht.,1860.0,3.0,68.0,Bucheggstrasse 65,8406,Winterthur,47.515129,8.745598,Comparis
Geräumige 1-Zimmer-Mietwohnung in Bassersdorf,Gepflegte Wohnung in sehr gutem Zustand. Tiefgaragenplatz kann dazugemietet werden. Modernes Bad mit Dusche und Badewanne. Südausrichtung mit viel natürlichem Licht. Balkon mit schöner Aussicht vorhanden. Kindergarten und Schule in unmittelbarer Nähe.,1050.0,1.0,37.2,Limmatstrasse 80,8303,Bassersdorf,47.445914,8.631412,Procimmo
Geräumige 3.5-Zimmer-Mietwohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Einstellplatz kann dazugemietet werden. Frisch renoviert und neu gestrichen. Ruhige Lage, trotz stadtnaher Position.",3090.0,3.5,85.3,Heinrichstrasse 33,8003,Zürich,47.359249,8.526561,Procimmo
Helle 3.5-Zimmer-Apartment – Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Tiefgaragenplatz kann dazugemietet werden. Ruhige Lage, trotz stadtnaher Position. Ideale Verkehrsanbindung. Gute Anbindung an öffentliche Verkehrsmittel.",3240.0,3.5,106.2,Neptunstrasse 5,8049,Zürich,47.397423,8.492668,Privat
Helle 3.5-Zimmer-Wohnung – Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Kindergarten und Schule in unmittelbarer Nähe. Ruhige Lage, trotz stadtnaher Position.",2140.0,3.5,76.0,Regensbergstrasse 40,8045,Zürich,47.363214,8.505991,Helvetia Immobilien
Moderne 2.5-Zimmer-Mietwohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Ruhige Wohnlage im Quartier. Ruhige Lage, trotz stadtnaher Position.",1980.0,2.5,51.3,Langstrasse 87,8002,Zürich,47.365403,8.536426,Comparis
Möblierte Apartment – Birmensdorf,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Tiefgaragenplatz kann dazugemietet werden. Einkaufsmöglichkeiten fussläufig erreichbar. Balkon mit schöner Aussicht vorhanden. Ideale Verkehrsanbindung.,1710.0,2.0,51.6,Freiestrasse 12,8903,Birmensdorf,47.357679,8.426716,Privat
Voll möblierte 3.5-Zimmer-Apartment,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Einstellplatz kann dazugemietet werden. Ideale Verkehrsanbindung. Balkon mit schöner Aussicht vorhanden. Grosszügiger Keller inklusive.",3760.0,3.5,67.3,Bellerivestrasse 80,8001,Zürich,47.38169,8.536939,Helvetia Immobilien
Voll möblierte 2.5-Zimmer-Wohnung,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Frisch renoviert und neu gestrichen. Ideale Verkehrsanbindung.,2470.0,2.5,61.5,Gloriastrasse 42,8057,Zürich,,8.547594,Wincasa AG
Helle 5.5-Zimmer-Wohnung – Winterthur,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Balkon mit schöner Aussicht vorhanden. Ideale Verkehrsanbindung.,3570.0,5.5,,Schaffhauserstrasse 133,8400,Winterthur,47.499925,8.727677,Helvetia Immobilien
Voll möblierte 5-Zimmer-Wohnung,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Parkplatz kann dazugemietet werden. Grosszügiger Keller inklusive. Schöne Aussicht auf die Umgebung.,4690.0,5.0,142.8,Albisriederstrasse 112,8810,Horgen,47.260077,8.589942,Procimmo
2.5-Zimmer-Apartment in Bassersdorf,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Lift im Gebäude vorhanden. Südausrichtung mit viel natürlichem Licht.,1860.0,2.5,69.3,Neptunstrasse 61,8303,Bassersdorf,47.442744,8.62584,Wincasa AG
Helle 3-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Carport kann dazugemietet werden. Ruhige Wohnlage im Quartier. Modernes Bad mit Dusche und Badewanne. Ideale Verkehrsanbindung. Frisch renoviert und neu gestrichen.,3080.0,3.0,91.1,Albisriederstrasse 36,8005,Zürich,47.384978,8.518912,Homegate
Moderne 3-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Modernes Bad mit Dusche und Badewanne. Einkaufsmöglichkeiten fussläufig erreichbar. Kindergarten und Schule in unmittelbarer Nähe. Grosszügiger Keller inklusive.,2700.0,3.0,88.1,Forchstrasse 5,8048,Zürich,47.379563,8.481023,ImmoScout24
3.5-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Frisch renoviert und neu gestrichen. Einkaufsmöglichkeiten fussläufig erreichbar. Ideale Verkehrsanbindung.,3380.0,3.5,85.5,Bucheggstrasse 61,8004,Zürich,47.376849,8.526029,ImmoScout24
Möblierte 2.5-Zimmer-Mietwohnung in Zürich,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Einstellplatz kann dazugemietet werden. Modernes Bad mit Dusche und Badewanne. Ruhige Wohnlage im Quartier.,2640.0,2.5,66.4,Weinbergstrasse 128,8057,Zürich,47.409003,8.548923,Livit AG
Helle 2-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ruhige Wohnlage im Quartier. Frisch renoviert und neu gestrichen. Modernes Bad mit Dusche und Badewanne.,1840.0,2.0,61.4,Zürichbergstrasse 1,8046,Zürich,47.420532,8.51084,ImmoScout24
Renovierte 4-Zimmer-Mietwohnung in Uster,Gepflegte Wohnung in sehr gutem Zustand. Kindergarten und Schule in unmittelbarer Nähe. Schöne Aussicht auf die Umgebung. Grosszügiger Keller inklusive. Ideale Verkehrsanbindung.,3340.0,4.0,119.0,Neptunstrasse 18,8610,Uster,47.351785,8.720318,Homegate
Geräumige 3.5-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Lift im Gebäude vorhanden. Gute Anbindung an öffentliche Verkehrsmittel.,3060.0,3.5,86.8,Jupiterstrasse 96,8003,Zürich,47.365859,8.524887,ImmoScout24
Helle 4-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Ruhige Wohnlage im Quartier. Frisch renoviert und neu gestrichen. Ideale Verkehrsanbindung. Modernes Bad mit Dusche und Badewanne.,4240.0,4.0,107.7,Heinrichstrasse 35,8008,Zürich,47.361468,8.556063,Comparis
Zentral gelegene 3-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Balkon mit schöner Aussicht vorhanden. Gute Anbindung an öffentliche Verkehrsmittel.,3260.0,3.0,95.1,Regensbergstrasse 17,8004,Zürich,47.38172,8.525905,Homegate
Möblierte Apartment – Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Ideale Verkehrsanbindung. Balkon mit schöner Aussicht vorhanden. Schöne Aussicht auf die Umgebung. Gute Anbindung an öffentliche Verkehrsmittel.",2500.0,2.5,66.5,Aargauerstrasse 11,8005,Zürich,47.383957,8.525536,Livit AG
Helle 2-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Parkplatz kann dazugemietet werden. Grosszügiger Keller inklusive. Modernes Bad mit Dusche und Badewanne. Ideale Verkehrsanbindung.,1690.0,2.0,48.6,Limmatstrasse 13,8049,Zürich,47.400809,8.497926,Procimmo
Furnished 4.5-room Apartment in Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Balkon mit schöner Aussicht vorhanden. Südausrichtung mit viel natürlichem Licht. Grosszügiger Keller inklusive. Modernes Bad mit Dusche und Badewanne.",5120.0,4.5,140.1,Heinrichstrasse 48,8003,Zürich,47.371903,8.524334,Procimmo
Möblierte Apartment – Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Frisch renoviert und neu gestrichen. Balkon mit schöner Aussicht vorhanden. Modernes Bad mit Dusche und Badewanne.",4030.0,3.5,101.2,Quellenstrasse 140,8005,Zürich,47.384005,8.520707,UBS Real Estate
Schöne 3-Zimmer-Mietwohnung in Bülach,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Garage kann dazugemietet werden. Lift im Gebäude vorhanden. Einkaufsmöglichkeiten fussläufig erreichbar. Grosszügiger Keller inklusive. Balkon mit schöner Aussicht vorhanden.,2240.0,3.0,88.8,Zürichbergstrasse 43,8180,Bülach,47.525135,8.539426,Homegate
Renovierte 3-Zimmer-Apartment in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Ruhige Wohnlage im Quartier. Schöne Aussicht auf die Umgebung. Ruhige Lage, trotz stadtnaher Position. Einkaufsmöglichkeiten fussläufig erreichbar.",2510.0,3.0,79.8,Rämistrasse 104,8064,Zürich,47.385555,8.490746,UBS Real Estate
Moderne 3-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Parkplatz kann dazugemietet werden. Grosszügiger Keller inklusive. Einkaufsmöglichkeiten fussläufig erreichbar. Schöne Aussicht auf die Umgebung.,3050.0,3.0,103.9,Langstrasse 33,8047,Zürich,47.388571,8.504418,Comparis
Schöne 4-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Einstellplatz kann dazugemietet werden. Kindergarten und Schule in unmittelbarer Nähe. Lift im Gebäude vorhanden.,4090.0,4.0,109.7,Freiestrasse 95,8057,Zürich,47.409358,8.543624,Procimmo
4-Zimmer-Wohnung in Schlieren,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Tiefgaragenplatz kann dazugemietet werden. Kindergarten und Schule in unmittelbarer Nähe. Grosszügiger Keller inklusive. Ruhige Lage, trotz stadtnaher Position.",3190.0,4.0,104.6,Badenerstrasse 72,8952,Schlieren,47.39323,8.443724,ImmoScout24
Schöne 1-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Balkon mit schöner Aussicht vorhanden. Modernes Bad mit Dusche und Badewanne. Ideale Verkehrsanbindung. Gute Anbindung an öffentliche Verkehrsmittel.,1570.0,1.0,39.9,Dörflistrasse 67,8002,Zürich,47.354653,8.533222,ImmoScout24
Moderne 6-Zimmer-Apartment in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Carport kann dazugemietet werden. Ruhige Lage, trotz stadtnaher Position. Frisch renoviert und neu gestrichen.",4340.0,6.0,135.9,Regensbergstrasse 19,8047,Zürich,47.389454,8.502704,Wincasa AG
Renovierte 3-Zimmer-Mietwohnung in Volketswil,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ruhige Wohnlage im Quartier. Modernes Bad mit Dusche und Badewanne. Frisch renoviert und neu gestrichen.,2290.0,3.0,93.2,Limmatstrasse 17,8604,Volketswil,47.384949,8.683438,Comparis
3-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Gute Anbindung an öffentliche Verkehrsmittel. Ideale Verkehrsanbindung.,2680.0,3.0,86.5,Neptunstrasse 131,8045,Zürich,47.370015,8.509808,Homegate
Möblierte Mietwohnung – Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Einstellplatz kann dazugemietet werden. Einkaufsmöglichkeiten fussläufig erreichbar. Südausrichtung mit viel natürlichem Licht.",3980.0,4.0,94.1,Neptunstrasse 142,8032,Zürich,47.366895,8.552111,ImmoScout24
Geräumige 5.5-Zimmer-Mietwohnung in Winterthur,Gepflegte Wohnung in sehr gutem Zustand. Carport kann dazugemietet werden. Einkaufsmöglichkeiten fussläufig erreichbar. Südausrichtung mit viel natürlichem Licht. Ruhige Wohnlage im Quartier.,4020.0,5.5,147.6,Hohlstrasse 102,8404,Winterthur,47.494306,8.729854,Wincasa AG
Geräumige 3-Zimmer-Apartment in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Tiefgaragenplatz kann dazugemietet werden. Frisch renoviert und neu gestrichen. Einkaufsmöglichkeiten fussläufig erreichbar. Ruhige Wohnlage im Quartier. Ruhige Lage, trotz stadtnaher Position.",2570.0,3.0,97.5,Rämistrasse 116,8046,Zürich,47.433703,8.513418,Procimmo
Voll möblierte 2-Zimmer-Mietwohnung,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Lift im Gebäude vorhanden. Modernes Bad mit Dusche und Badewanne.",2140.0,2.0,57.7,Birmensdorferstrasse 32,8952,Schlieren,47.393294,8.44169,Privat
Zentral gelegene 3-Zimmer-Apartment – Wallisellen,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Tiefgaragenplatz kann dazugemietet werden. Kindergarten und Schule in unmittelbarer Nähe. Balkon mit schöner Aussicht vorhanden. Ruhige Wohnlage im Quartier. Modernes Bad mit Dusche und Badewanne.,2360.0,3.0,70.1,Limmatstrasse 133,8304,Wallisellen,47.410136,8.593646,Helvetia Immobilien
Moderne 3-Zimmer-Mietwohnung in Birmensdorf,"Gepflegte Wohnung in sehr gutem Zustand. Ruhige Wohnlage im Quartier. Ruhige Lage, trotz stadtnaher Position. Frisch renoviert und neu gestrichen. Einkaufsmöglichkeiten fussläufig erreichbar.",2380.0,3.0,86.0,Forchstrasse 129,8903,Birmensdorf,47.356044,8.419054,Wincasa AG
Möblierte 1.5-Zimmer-Wohnung in Zürich,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Einstellplatz kann dazugemietet werden. Frisch renoviert und neu gestrichen. Gute Anbindung an öffentliche Verkehrsmittel. Einkaufsmöglichkeiten fussläufig erreichbar.,2250.0,1.5,51.4,Langstrasse 8,8003,Zürich,47.371358,8.520249,Procimmo
Renovierte 4-Zimmer-Mietwohnung in Dietikon,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ideale Verkehrsanbindung. Gute Anbindung an öffentliche Verkehrsmittel. Frisch renoviert und neu gestrichen.,3190.0,4.0,118.6,Seestrasse 128,8953,Dietikon,47.402428,8.399153,Procimmo
Geräumige 2.5-Zimmer-Wohnung in Wallisellen,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Grosszügiger Keller inklusive. Ideale Verkehrsanbindung. Modernes Bad mit Dusche und Badewanne.,2000.0,2.5,73.2,Hohlstrasse 117,8304,Wallisellen,47.410417,8.597224,Privat
Zentral gelegene 3.5-Zimmer-Apartment – Regensdorf,Gepflegte Wohnung in sehr gutem Zustand. Parkplatz kann dazugemietet werden. Ruhige Wohnlage im Quartier. Lift im Gebäude vorhanden. Kindergarten und Schule in unmittelbarer Nähe.,2850.0,3.5,102.1,Heinrichstrasse 37,8105,Regensdorf,47.432044,8.46601,Helvetia Immobilien
Schöne 4-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Gute Anbindung an öffentliche Verkehrsmittel. Ruhige Wohnlage im Quartier. Südausrichtung mit viel natürlichem Licht.,4200.0,4.0,127.6,Schaffhauserstrasse 82,8057,Zürich,47.403992,8.541035,Homegate
Schöne 3-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Tiefgaragenplatz kann dazugemietet werden. Einkaufsmöglichkeiten fussläufig erreichbar. Modernes Bad mit Dusche und Badewanne. Lift im Gebäude vorhanden.,2930.0,3.0,74.9,Bucheggstrasse 99,8002,Zürich,47.359703,8.540735,Privat
Schöne 1.5-Zimmer-Mietwohnung in Winterthur,Gepflegte Wohnung in sehr gutem Zustand. Ideale Verkehrsanbindung. Schöne Aussicht auf die Umgebung. Südausrichtung mit viel natürlichem Licht.,1030.0,1.5,45.1,Militärstrasse 128,8404,Winterthur,47.485551,8.730906,Procimmo
Renovierte 2.5-Zimmer-Wohnung in Dietikon,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Balkon mit schöner Aussicht vorhanden. Ideale Verkehrsanbindung.,1730.0,2.5,65.8,Mutschellenstrasse 62,8953,Dietikon,47.404607,8.402776,UBS Real Estate
Zentral gelegene 2-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Tiefgaragenplatz kann dazugemietet werden. Modernes Bad mit Dusche und Badewanne. Lift im Gebäude vorhanden. Grosszügiger Keller inklusive.,1860.0,2.0,47.7,Bucheggstrasse 138,8003,Zürich,47.364222,8.516547,Wincasa AG
Renovierte 4-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Kindergarten und Schule in unmittelbarer Nähe. Balkon mit schöner Aussicht vorhanden. Südausrichtung mit viel natürlichem Licht.,3950.0,4.0,106.6,Langstrasse 103,8004,Zürich,,8.530337,Procimmo
Zentral gelegene 3-Zimmer-Apartment – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Einstellplatz kann dazugemietet werden. Ruhige Wohnlage im Quartier. Südausrichtung mit viel natürlichem Licht.,2870.0,3.0,92.4,Freiestrasse 141,8045,Zürich,47.366399,8.508243,Procimmo
Helle 3.5-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Einkaufsmöglichkeiten fussläufig erreichbar. Kindergarten und Schule in unmittelbarer Nähe.,2620.0,3.5,63.1,Neptunstrasse 87,8032,Zürich,47.366672,8.557243,Procimmo
Voll möblierte 3.5-Zimmer-Wohnung,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Carport kann dazugemietet werden. Ideale Verkehrsanbindung. Ruhige Wohnlage im Quartier. Einkaufsmöglichkeiten fussläufig erreichbar. Kindergarten und Schule in unmittelbarer Nähe.,2920.0,3.5,89.7,Langstrasse 12,8603,Dübendorf,47.393365,,Comparis
Furnished 3.5-room Wohnung in Thalwil,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Balkon mit schöner Aussicht vorhanden. Einkaufsmöglichkeiten fussläufig erreichbar. Lift im Gebäude vorhanden. Kindergarten und Schule in unmittelbarer Nähe.,3720.0,,119.1,Badenerstrasse 82,8800,Thalwil,47.293666,8.559254,Helvetia Immobilien
Schöne 3-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Lift im Gebäude vorhanden. Frisch renoviert und neu gestrichen. Südausrichtung mit viel natürlichem Licht.,2540.0,3.0,88.7,Zentralstrasse 145,8047,Zürich,47.389447,8.498332,Procimmo
Schöne 3-Zimmer-Mietwohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ruhige Lage, trotz stadtnaher Position. Einkaufsmöglichkeiten fussläufig erreichbar. Modernes Bad mit Dusche und Badewanne. Gute Anbindung an öffentliche Verkehrsmittel.",2210.0,3.0,78.1,Hohlstrasse 7,8046,Zürich,47.428894,8.516421,Homegate
Geräumige 3-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Ruhige Wohnlage im Quartier. Frisch renoviert und neu gestrichen. Gute Anbindung an öffentliche Verkehrsmittel.,2670.0,3.0,86.8,Josefstrasse 44,8045,Zürich,47.366375,8.506965,Homegate
Schöne 3-Zimmer-Wohnung in Pfäffikon ZH,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Grosszügiger Keller inklusive. Modernes Bad mit Dusche und Badewanne.,2180.0,3.0,84.5,Weinbergstrasse 49,8330,Pfäffikon ZH,47.376647,8.786134,Privat
Schöne 3-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Garage kann dazugemietet werden. Ruhige Wohnlage im Quartier. Kindergarten und Schule in unmittelbarer Nähe. Gute Anbindung an öffentliche Verkehrsmittel. Modernes Bad mit Dusche und Badewanne.,3050.0,3.0,97.6,Gloriastrasse 129,8064,Zürich,47.387344,8.490737,Wincasa AG
Helle 3.5-Zimmer-Apartment – Bülach,"Gepflegte Wohnung in sehr gutem Zustand. Kindergarten und Schule in unmittelbarer Nähe. Lift im Gebäude vorhanden. Ruhige Lage, trotz stadtnaher Position.",2230.0,3.5,82.3,Josefstrasse 135,8180,Bülach,47.52973,8.542538,Wincasa AG
Moderne 4-Zimmer-Wohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Parkplatz kann dazugemietet werden. Balkon mit schöner Aussicht vorhanden. Ruhige Lage, trotz stadtnaher Position.",3130.0,4.0,104.6,Dörflistrasse 124,8051,Zürich,47.405715,8.569325,Privat
Helle 3-Zimmer-Apartment – Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Balkon mit schöner Aussicht vorhanden. Ruhige Lage, trotz stadtnaher Position. Südausrichtung mit viel natürlichem Licht. Einkaufsmöglichkeiten fussläufig erreichbar.",2020.0,3.0,59.2,Zentralstrasse 82,8048,Zürich,47.386171,8.482588,Helvetia Immobilien
Zentral gelegene 2.5-Zimmer-Apartment – Küsnacht,Gepflegte Wohnung in sehr gutem Zustand. Schöne Aussicht auf die Umgebung. Balkon mit schöner Aussicht vorhanden. Südausrichtung mit viel natürlichem Licht.,2950.0,2.5,84.2,Jupiterstrasse 102,8700,Küsnacht,47.314634,8.581392,Wincasa AG
Schöne 3-Zimmer-Mietwohnung in Embrach,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Balkon mit schöner Aussicht vorhanden. Kindergarten und Schule in unmittelbarer Nähe. Ruhige Lage, trotz stadtnaher Position. Ruhige Wohnlage im Quartier.",2160.0,3.0,90.2,Freiestrasse 66,8424,Embrach,47.503722,8.595683,ImmoScout24
Geräumige 5-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Tiefgaragenplatz kann dazugemietet werden. Gute Anbindung an öffentliche Verkehrsmittel. Schöne Aussicht auf die Umgebung. Südausrichtung mit viel natürlichem Licht. Grosszügiger Keller inklusive.,4260.0,,109.4,Bellerivestrasse 63,8006,Zürich,47.387159,8.544165,Wincasa AG
Zentral gelegene 3-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ruhige Wohnlage im Quartier. Grosszügiger Keller inklusive. Frisch renoviert und neu gestrichen. Ideale Verkehrsanbindung.,2150.0,,73.4,Josefstrasse 26,8051,Zürich,47.40206,8.573299,UBS Real Estate
Helle 2.5-Zimmer-Apartment – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Frisch renoviert und neu gestrichen. Einkaufsmöglichkeiten fussläufig erreichbar.,2920.0,2.5,75.1,Aargauerstrasse 74,8032,Zürich,47.365473,8.554144,Privat
Zentral gelegene 2.5-Zimmer-Apartment – Opfikon,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Garage kann dazugemietet werden. Ruhige Lage, trotz stadtnaher Position. Ideale Verkehrsanbindung. Ruhige Wohnlage im Quartier.",2310.0,2.5,71.5,Langstrasse 45,8152,Opfikon,47.430987,8.56924,Livit AG
Renovierte 3.5-Zimmer-Apartment in Winterthur,Gepflegte Wohnung in sehr gutem Zustand. Balkon mit schöner Aussicht vorhanden. Ideale Verkehrsanbindung. Frisch renoviert und neu gestrichen.,2530.0,3.5,96.1,Langstrasse 3,8404,Winterthur,47.492697,8.733617,Helvetia Immobilien
Schöne 2-Zimmer-Mietwohnung in Dübendorf,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Garage kann dazugemietet werden. Ruhige Wohnlage im Quartier. Modernes Bad mit Dusche und Badewanne. Ideale Verkehrsanbindung.,1680.0,2.0,57.0,Zentralstrasse 35,8603,Dübendorf,47.390001,8.628254,Livit AG
Helle 3.5-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Frisch renoviert und neu gestrichen. Gute Anbindung an öffentliche Verkehrsmittel. Ruhige Wohnlage im Quartier. Einkaufsmöglichkeiten fussläufig erreichbar.,3820.0,3.5,112.2,Quellenstrasse 4,8004,Zürich,47.378218,8.523656,Procimmo
4-Zimmer-Apartment in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Ruhige Wohnlage im Quartier. Ruhige Lage, trotz stadtnaher Position.",3790.0,4.0,98.6,Zürichbergstrasse 132,8002,Zürich,47.355891,8.530992,UBS Real Estate
