title,description,price_chf,number_of_rooms,apartment_size_sqm,address,zip_code,city,latitude,longitude,publisher,distance_to_zurich_center,furnished,parking,rooms_per_sqm
2.5-Zimmer-Apartment in Bassersdorf,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Lift im Gebäude vorhanden. Südausrichtung mit viel natürlichem Licht.,1860.0,2.5,69.3,Neptunstrasse 61,8303,Bassersdorf,47.442744,8.62584,Wincasa AG,9.68,0,0,0.03607503607503608
Helle 3-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Carport kann dazugemietet werden. Ruhige Wohnlage im Quartier. Modernes Bad mit Dusche und Badewanne. Ideale Verkehrsanbindung. Frisch renoviert und neu gestrichen.,3080.0,3.0,91.1,Albisriederstrasse 36,8005,Zürich,47.384978,8.518912,Homegate,1.94,0,1,0.03293084522502744
Moderne 3-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Modernes Bad mit Dusche und Badewanne. Einkaufsmöglichkeiten fussläufig erreichbar. Kindergarten und Schule in unmittelbarer Nähe. Grosszügiger Keller inklusive.,2700.0,3.0,88.1,Forchstrasse 5,8048,Zürich,47.379563,8.481023,ImmoScout24,4.58,0,0,0.0340522133938706
3.5-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Frisch renoviert und neu gestrichen. Einkaufsmöglichkeiten fussläufig erreichbar. Ideale Verkehrsanbindung.,3380.0,3.5,85.5,Bucheggstrasse 61,8004,Zürich,47.376849,8.526029,ImmoScout24,1.18,0,0,0.04093567251461988
Möblierte 2.5-Zimmer-Mietwohnung in Zürich,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Einstellplatz kann dazugemietet werden. Modernes Bad mit Dusche und Badewanne. Ruhige Wohnlage im Quartier.,2640.0,2.5,66.4,Weinbergstrasse 128,8057,Zürich,47.409003,8.548923,Livit AG,3.61,1,1,0.03765060240963855
Helle 2-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ruhige Wohnlage im Quartier. Frisch renoviert und neu gestrichen. Modernes Bad mit Dusche und Badewanne.,1840.0,2.0,61.4,Zürichbergstrasse 1,8046,Zürich,47.420532,8.51084,ImmoScout24,5.38,0,0,0.03257328990228013
Renovierte 4-Zimmer-Mietwohnung in Uster,Gepflegte Wohnung in sehr gutem Zustand. Kindergarten und Schule in unmittelbarer Nähe. Schöne Aussicht auf die Umgebung. Grosszügiger Keller inklusive. Ideale Verkehrsanbindung.,3340.0,4.0,119.0,Neptunstrasse 18,8610,Uster,47.351785,8.720318,Homegate,13.74,0,0,0.03361344537815126
Geräumige 3.5-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Lift im Gebäude vorhanden. Gute Anbindung an öffentliche Verkehrsmittel.,3060.0,3.5,86.8,Jupiterstrasse 96,8003,Zürich,47.365859,8.524887,ImmoScout24,1.76,0,0,0.04032258064516129
Helle 4-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Ruhige Wohnlage im Quartier. Frisch renoviert und neu gestrichen. Ideale Verkehrsanbindung. Modernes Bad mit Dusche und Badewanne.,4240.0,4.0,107.7,Heinrichstrasse 35,8008,Zürich,47.361468,8.556063,Comparis,2.03,0,0,0.03714020427112349
Zentral gelegene 3-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Balkon mit schöner Aussicht vorhanden. Gute Anbindung an öffentliche Verkehrsmittel.,3260.0,3.0,95.1,Regensbergstrasse 17,8004,Zürich,47.38172,8.525905,Homegate,1.3,0,0,0.03154574132492114
Möblierte Apartment – Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Ideale Verkehrsanbindung. Balkon mit schöner Aussicht vorhanden. Schöne Aussicht auf die Umgebung. Gute Anbindung an öffentliche Verkehrsmittel.",2500.0,2.5,66.5,Aargauerstrasse 11,8005,Zürich,47.383957,8.525536,Livit AG,1.45,1,0,0.03759398496240601
Helle 2-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Parkplatz kann dazugemietet werden. Grosszügiger Keller inklusive. Modernes Bad mit Dusche und Badewanne. Ideale Verkehrsanbindung.,1690.0,2.0,48.6,Limmatstrasse 13,8049,Zürich,47.400809,8.497926,Procimmo,4.23,0,1,0.0411522633744856
Furnished 4.5-room Apartment in Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Balkon mit schöner Aussicht vorhanden. Südausrichtung mit viel natürlichem Licht. Grosszügiger Keller inklusive. Modernes Bad mit Dusche und Badewanne.",5120.0,4.5,140.1,Heinrichstrasse 48,8003,Zürich,47.371903,8.524334,Procimmo,1.42,1,0,0.032119914346895075
Möblierte Apartment – Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Frisch renoviert und neu gestrichen. Balkon mit schöner Aussicht vorhanden. Modernes Bad mit Dusche und Badewanne.",4030.0,3.5,101.2,Quellenstrasse 140,8005,Zürich,47.384005,8.520707,UBS Real Estate,1.77,1,0,0.03458498023715415
Schöne 3-Zimmer-Mietwohnung in Bülach,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Garage kann dazugemietet werden. Lift im Gebäude vorhanden. Einkaufsmöglichkeiten fussläufig erreichbar. Grosszügiger Keller inklusive. Balkon mit schöner Aussicht vorhanden.,2240.0,3.0,88.8,Zürichbergstrasse 43,8180,Bülach,47.525135,8.539426,Homegate,16.48,0,1,0.033783783783783786
Renovierte 3-Zimmer-Apartment in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Ruhige Wohnlage im Quartier. Schöne Aussicht auf die Umgebung. Ruhige Lage, trotz stadtnaher Position. Einkaufsmöglichkeiten fussläufig erreichbar.",2510.0,3.0,79.8,Rämistrasse 104,8064,Zürich,47.385555,8.490746,UBS Real Estate,3.96,0,0,0.03759398496240601
Moderne 3-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Parkplatz kann dazugemietet werden. Grosszügiger Keller inklusive. Einkaufsmöglichkeiten fussläufig erreichbar. Schöne Aussicht auf die Umgebung.,3050.0,3.0,103.9,Langstrasse 33,8047,Zürich,47.388571,8.504418,Comparis,3.09,0,1,0.028873917228103944
Schöne 4-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Einstellplatz kann dazugemietet werden. Kindergarten und Schule in unmittelbarer Nähe. Lift im Gebäude vorhanden.,4090.0,4.0,109.7,Freiestrasse 95,8057,Zürich,47.409358,8.543624,Procimmo,3.61,0,1,0.03646308113035551
4-Zimmer-Wohnung in Schlieren,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Tiefgaragenplatz kann dazugemietet werden. Kindergarten und Schule in unmittelbarer Nähe. Grosszügiger Keller inklusive. Ruhige Lage, trotz stadtnaher Position.",3190.0,4.0,104.6,Badenerstrasse 72,8952,Schlieren,47.39323,8.443724,ImmoScout24,7.6,0,1,0.03824091778202677
Schöne 1-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Balkon mit schöner Aussicht vorhanden. Modernes Bad mit Dusche und Badewanne. Ideale Verkehrsanbindung. Gute Anbindung an öffentliche Verkehrsmittel.,1570.0,1.0,39.9,Dörflistrasse 67,8002,Zürich,47.354653,8.533222,ImmoScout24,2.55,0,0,0.025062656641604012
Moderne 6-Zimmer-Apartment in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Carport kann dazugemietet werden. Ruhige Lage, trotz stadtnaher Position. Frisch renoviert und neu gestrichen.",4340.0,6.0,135.9,Regensbergstrasse 19,8047,Zürich,47.389454,8.502704,Wincasa AG,3.25,0,1,0.044150110375275935
Renovierte 3-Zimmer-Mietwohnung in Volketswil,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ruhige Wohnlage im Quartier. Modernes Bad mit Dusche und Badewanne. Frisch renoviert und neu gestrichen.,2290.0,3.0,93.2,Limmatstrasse 17,8604,Volketswil,47.384949,8.683438,Comparis,10.71,0,0,0.032188841201716736
3-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Gute Anbindung an öffentliche Verkehrsmittel. Ideale Verkehrsanbindung.,2680.0,3.0,86.5,Neptunstrasse 131,8045,Zürich,47.370015,8.509808,Homegate,2.52,0,0,0.03468208092485549
Möblierte Mietwohnung – Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Einstellplatz kann dazugemietet werden. Einkaufsmöglichkeiten fussläufig erreichbar. Südausrichtung mit viel natürlichem Licht.",3980.0,4.0,94.1,Neptunstrasse 142,8032,Zürich,47.366895,8.552111,ImmoScout24,1.36,1,1,0.04250797024442083
Geräumige 5.5-Zimmer-Mietwohnung in Winterthur,Gepflegte Wohnung in sehr gutem Zustand. Carport kann dazugemietet werden. Einkaufsmöglichkeiten fussläufig erreichbar. Südausrichtung mit viel natürlichem Licht. Ruhige Wohnlage im Quartier.,4020.0,5.5,147.6,Hohlstrasse 102,8404,Winterthur,47.494306,8.729854,Wincasa AG,19.25,0,1,0.03726287262872629
Geräumige 3-Zimmer-Apartment in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Tiefgaragenplatz kann dazugemietet werden. Frisch renoviert und neu gestrichen. Einkaufsmöglichkeiten fussläufig erreichbar. Ruhige Wohnlage im Quartier. Ruhige Lage, trotz stadtnaher Position.",2570.0,3.0,97.5,Rämistrasse 116,8046,Zürich,47.433703,8.513418,Procimmo,6.67,0,1,0.03076923076923077
Voll möblierte 2-Zimmer-Mietwohnung,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Lift im Gebäude vorhanden. Modernes Bad mit Dusche und Badewanne.",2140.0,2.0,57.7,Birmensdorferstrasse 32,8952,Schlieren,47.393294,8.44169,Privat,7.75,1,0,0.03466204506065858
Zentral gelegene 3-Zimmer-Apartment – Wallisellen,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Tiefgaragenplatz kann dazugemietet werden. Kindergarten und Schule in unmittelbarer Nähe. Balkon mit schöner Aussicht vorhanden. Ruhige Wohnlage im Quartier. Modernes Bad mit Dusche und Badewanne.,2360.0,3.0,70.1,Limmatstrasse 133,8304,Wallisellen,47.410136,8.593646,Helvetia Immobilien,5.38,0,1,0.0427960057061341
Moderne 3-Zimmer-Mietwohnung in Birmensdorf,"Gepflegte Wohnung in sehr gutem Zustand. Ruhige Wohnlage im Quartier. Ruhige Lage, trotz stadtnaher Position. Frisch renoviert und neu gestrichen. Einkaufsmöglichkeiten fussläufig erreichbar.",2380.0,3.0,86.0,Forchstrasse 129,8903,Birmensdorf,47.356044,8.419054,Wincasa AG,9.52,0,0,0.03488372093023256
Möblierte 1.5-Zimmer-Wohnung in Zürich,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Einstellplatz kann dazugemietet werden. Frisch renoviert und neu gestrichen. Gute Anbindung an öffentliche Verkehrsmittel. Einkaufsmöglichkeiten fussläufig erreichbar.,2250.0,1.5,51.4,Langstrasse 8,8003,Zürich,47.371358,8.520249,Procimmo,1.73,1,1,0.029182879377431907
Renovierte 4-Zimmer-Mietwohnung in Dietikon,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ideale Verkehrsanbindung. Gute Anbindung an öffentliche Verkehrsmittel. Frisch renoviert und neu gestrichen.,3190.0,4.0,118.6,Seestrasse 128,8953,Dietikon,47.402428,8.399153,Procimmo,11.1,0,0,0.03372681281618887
Geräumige 2.5-Zimmer-Wohnung in Wallisellen,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Grosszügiger Keller inklusive. Ideale Verkehrsanbindung. Modernes Bad mit Dusche und Badewanne.,2000.0,2.5,73.2,Hohlstrasse 117,8304,Wallisellen,47.410417,8.597224,Privat,5.6,0,0,0.03415300546448087
Zentral gelegene 3.5-Zimmer-Apartment – Regensdorf,Gepflegte Wohnung in sehr gutem Zustand. Parkplatz kann dazugemietet werden. Ruhige Wohnlage im Quartier. Lift im Gebäude vorhanden. Kindergarten und Schule in unmittelbarer Nähe.,2850.0,3.5,102.1,Heinrichstrasse 37,8105,Regensdorf,47.432044,8.46601,Helvetia Immobilien,8.37,0,1,0.03428011753183154
Schöne 4-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Gute Anbindung an öffentliche Verkehrsmittel. Ruhige Wohnlage im Quartier. Südausrichtung mit viel natürlichem Licht.,4200.0,4.0,127.6,Schaffhauserstrasse 82,8057,Zürich,47.403992,8.541035,Homegate,3.01,0,0,0.031347962382445145
Schöne 3-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Tiefgaragenplatz kann dazugemietet werden. Einkaufsmöglichkeiten fussläufig erreichbar. Modernes Bad mit Dusche und Badewanne. Lift im Gebäude vorhanden.,2930.0,3.0,74.9,Bucheggstrasse 99,8002,Zürich,47.359703,8.540735,Privat,1.91,0,1,0.04005340453938584
Schöne 1.5-Zimmer-Mietwohnung in Winterthur,Gepflegte Wohnung in sehr gutem Zustand. Ideale Verkehrsanbindung. Schöne Aussicht auf die Umgebung. Südausrichtung mit viel natürlichem Licht.,1030.0,1.5,45.1,Militärstrasse 128,8404,Winterthur,47.485551,8.730906,Procimmo,18.67,0,0,0.03325942350332594
Renovierte 2.5-Zimmer-Wohnung in Dietikon,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Balkon mit schöner Aussicht vorhanden. Ideale Verkehrsanbindung.,1730.0,2.5,65.8,Mutschellenstrasse 62,8953,Dietikon,47.404607,8.402776,UBS Real Estate,10.9,0,0,0.037993920972644375
Zentral gelegene 2-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Tiefgaragenplatz kann dazugemietet werden. Modernes Bad mit Dusche und Badewanne. Lift im Gebäude vorhanden. Grosszügiger Keller inklusive.,1860.0,2.0,47.7,Bucheggstrasse 138,8003,Zürich,47.364222,8.516547,Wincasa AG,2.36,0,1,0.04192872117400419
Renovierte 4-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Kindergarten und Schule in unmittelbarer Nähe. Balkon mit schöner Aussicht vorhanden. Südausrichtung mit viel natürlichem Licht.,3950.0,4.0,106.6,Langstrasse 103,8004,Zürich,47.384790499999994,8.530337,Procimmo,1.23,0,0,0.0375234521575985
Zentral gelegene 3-Zimmer-Apartment – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Einstellplatz kann dazugemietet werden. Ruhige Wohnlage im Quartier. Südausrichtung mit viel natürlichem Licht.,2870.0,3.0,92.4,Freiestrasse 141,8045,Zürich,47.366399,8.508243,Procimmo,2.78,0,1,0.032467532467532464
Helle 3.5-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Einkaufsmöglichkeiten fussläufig erreichbar. Kindergarten und Schule in unmittelbarer Nähe.,2620.0,3.5,63.1,Neptunstrasse 87,8032,Zürich,47.366672,8.557243,Procimmo,1.63,0,0,0.0554675118858954
Voll möblierte 3.5-Zimmer-Wohnung,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Carport kann dazugemietet werden. Ideale Verkehrsanbindung. Ruhige Wohnlage im Quartier. Einkaufsmöglichkeiten fussläufig erreichbar. Kindergarten und Schule in unmittelbarer Nähe.,2920.0,3.5,89.7,Langstrasse 12,8603,Dübendorf,47.393365,8.535243000000001,Comparis,1.89,1,1,0.03901895206243032
Schöne 3-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Lift im Gebäude vorhanden. Frisch renoviert und neu gestrichen. Südausrichtung mit viel natürlichem Licht.,2540.0,3.0,88.7,Zentralstrasse 145,8047,Zürich,47.389447,8.498332,Procimmo,3.55,0,0,0.033821871476888386
Schöne 3-Zimmer-Mietwohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ruhige Lage, trotz stadtnaher Position. Einkaufsmöglichkeiten fussläufig erreichbar. Modernes Bad mit Dusche und Badewanne. Gute Anbindung an öffentliche Verkehrsmittel.",2210.0,3.0,78.1,Hohlstrasse 7,8046,Zürich,47.428894,8.516421,Homegate,6.09,0,0,0.0384122919334187
Geräumige 3-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Ruhige Wohnlage im Quartier. Frisch renoviert und neu gestrichen. Gute Anbindung an öffentliche Verkehrsmittel.,2670.0,3.0,86.8,Josefstrasse 44,8045,Zürich,47.366375,8.506965,Homegate,2.87,0,0,0.03456221198156682
Schöne 3-Zimmer-Wohnung in Pfäffikon ZH,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Grosszügiger Keller inklusive. Modernes Bad mit Dusche und Badewanne.,2180.0,3.0,84.5,Weinbergstrasse 49,8330,Pfäffikon ZH,47.376647,8.786134,Privat,18.41,0,0,0.03550295857988166
Schöne 3-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Garage kann dazugemietet werden. Ruhige Wohnlage im Quartier. Kindergarten und Schule in unmittelbarer Nähe. Gute Anbindung an öffentliche Verkehrsmittel. Modernes Bad mit Dusche und Badewanne.,3050.0,3.0,97.6,Gloriastrasse 129,8064,Zürich,47.387344,8.490737,Wincasa AG,4.01,0,1,0.03073770491803279
Helle 3.5-Zimmer-Apartment – Bülach,"Gepflegte Wohnung in sehr gutem Zustand. Kindergarten und Schule in unmittelbarer Nähe. Lift im Gebäude vorhanden. Ruhige Lage, trotz stadtnaher Position.",2230.0,3.5,82.3,Josefstrasse 135,8180,Bülach,47.52973,8.542538,Wincasa AG,16.99,0,0,0.0425273390036452
Moderne 4-Zimmer-Wohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Parkplatz kann dazugemietet werden. Balkon mit schöner Aussicht vorhanden. Ruhige Lage, trotz stadtnaher Position.",3130.0,4.0,104.6,Dörflistrasse 124,8051,Zürich,47.405715,8.569325,Privat,3.82,0,1,0.03824091778202677
Helle 3-Zimmer-Apartment – Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Balkon mit schöner Aussicht vorhanden. Ruhige Lage, trotz stadtnaher Position. Südausrichtung mit viel natürlichem Licht. Einkaufsmöglichkeiten fussläufig erreichbar.",2020.0,3.0,59.2,Zentralstrasse 82,8048,Zürich,47.386171,8.482588,Helvetia Immobilien,4.57,0,0,0.05067567567567567
Zentral gelegene 2.5-Zimmer-Apartment – Küsnacht,Gepflegte Wohnung in sehr gutem Zustand. Schöne Aussicht auf die Umgebung. Balkon mit schöner Aussicht vorhanden. Südausrichtung mit viel natürlichem Licht.,2950.0,2.5,84.2,Jupiterstrasse 102,8700,Küsnacht,47.314634,8.581392,Wincasa AG,7.54,0,0,0.029691211401425176
Schöne 3-Zimmer-Mietwohnung in Embrach,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Balkon mit schöner Aussicht vorhanden. Kindergarten und Schule in unmittelbarer Nähe. Ruhige Lage, trotz stadtnaher Position. Ruhige Wohnlage im Quartier.",2160.0,3.0,90.2,Freiestrasse 66,8424,Embrach,47.503722,8.595683,ImmoScout24,14.67,0,0,0.03325942350332594
Helle 2.5-Zimmer-Apartment – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Frisch renoviert und neu gestrichen. Einkaufsmöglichkeiten fussläufig erreichbar.,2920.0,2.5,75.1,Aargauerstrasse 74,8032,Zürich,47.365473,8.554144,Privat,1.58,0,0,0.033288948069241014
Zentral gelegene 2.5-Zimmer-Apartment – Opfikon,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Garage kann dazugemietet werden. Ruhige Lage, trotz stadtnaher Position. Ideale Verkehrsanbindung. Ruhige Wohnlage im Quartier.",2310.0,2.5,71.5,Langstrasse 45,8152,Opfikon,47.430987,8.56924,Livit AG,6.36,0,1,0.03496503496503497
Renovierte 3.5-Zimmer-Apartment in Winterthur,Gepflegte Wohnung in sehr gutem Zustand. Balkon mit schöner Aussicht vorhanden. Ideale Verkehrsanbindung. Frisch renoviert und neu gestrichen.,2530.0,3.5,96.1,Langstrasse 3,8404,Winterthur,47.492697,8.733617,Helvetia Immobilien,19.34,0,0,0.036420395421436005
Schöne 2-Zimmer-Mietwohnung in Dübendorf,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Garage kann dazugemietet werden. Ruhige Wohnlage im Quartier. Modernes Bad mit Dusche und Badewanne. Ideale Verkehrsanbindung.,1680.0,2.0,57.0,Zentralstrasse 35,8603,Dübendorf,47.390001,8.628254,Livit AG,6.68,0,1,0.03508771929824561
Helle 3.5-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Frisch renoviert und neu gestrichen. Gute Anbindung an öffentliche Verkehrsmittel. Ruhige Wohnlage im Quartier. Einkaufsmöglichkeiten fussläufig erreichbar.,3820.0,3.5,112.2,Quellenstrasse 4,8004,Zürich,47.378218,8.523656,Procimmo,1.37,0,0,0.031194295900178252
4-Zimmer-Apartment in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Ruhige Wohnlage im Quartier. Ruhige Lage, trotz stadtnaher Position.",3790.0,4.0,98.6,Zürichbergstrasse 132,8002,Zürich,47.355891,8.530992,UBS Real Estate,2.47,0,0,0.04056795131845842
Helle 2.5-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Carport kann dazugemietet werden. Lift im Gebäude vorhanden. Balkon mit schöner Aussicht vorhanden. Einkaufsmöglichkeiten fussläufig erreichbar.,2770.0,2.5,82.2,Badenerstrasse 64,8057,Zürich,47.406605,8.539695,Homegate,3.31,0,1,0.03041362530413625
Moderne 3-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ideale Verkehrsanbindung. Balkon mit schöner Aussicht vorhanden.,2690.0,3.0,89.9,Dörflistrasse 93,8051,Zürich,47.402942,8.575816,Comparis,3.87,0,0,0.03337041156840934
Zentral gelegene 2.5-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Frisch renoviert und neu gestrichen. Balkon mit schöner Aussicht vorhanden.,2700.0,2.5,78.7,Kirchgasse 129,8006,Zürich,47.386618,8.535715,Wincasa AG,1.17,0,0,0.03176620076238882
Schöne 3-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Einkaufsmöglichkeiten fussläufig erreichbar. Lift im Gebäude vorhanden. Grosszügiger Keller inklusive. Kindergarten und Schule in unmittelbarer Nähe.,3950.0,3.0,100.5,Mythenquai 57,8002,Zürich,47.358009,8.538062,UBS Real Estate,2.12,0,0,0.029850746268656716
Zentral gelegene 3.5-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Kindergarten und Schule in unmittelbarer Nähe. Ideale Verkehrsanbindung.,2590.0,3.5,82.9,Talstrasse 64,8047,Zürich,47.384852,8.506418,Helvetia Immobilien,2.8,0,0,0.04221954161640531
Möblierte 3-Zimmer-Mietwohnung in Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Kindergarten und Schule in unmittelbarer Nähe. Gute Anbindung an öffentliche Verkehrsmittel. Einkaufsmöglichkeiten fussläufig erreichbar. Ruhige Lage, trotz stadtnaher Position.",2160.0,3.0,71.5,Neptunstrasse 20,8046,Zürich,47.384790499999994,8.517997,Comparis,1.99,1,0,0.04195804195804196
Furnished 1-room Mietwohnung in Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Modernes Bad mit Dusche und Badewanne. Einkaufsmöglichkeiten fussläufig erreichbar.",1560.0,1.0,31.3,Militärstrasse 84,8032,Zürich,47.362138,8.546265,UBS Real Estate,1.68,1,0,0.03194888178913738
Geräumige 6-Zimmer-Apartment in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Schöne Aussicht auf die Umgebung. Grosszügiger Keller inklusive. Balkon mit schöner Aussicht vorhanden. Ruhige Lage, trotz stadtnaher Position.",4790.0,6.0,155.7,Birmensdorferstrasse 144,8045,Zürich,47.368363,8.509623,Privat,2.6,0,0,0.03853564547206166
Helle 2-Zimmer-Apartment – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Einstellplatz kann dazugemietet werden. Südausrichtung mit viel natürlichem Licht. Ideale Verkehrsanbindung.,2080.0,2.0,70.4,Rämistrasse 12,8049,Zürich,47.403359,8.535243000000001,Homegate,2.98,0,1,0.028409090909090908
Zentral gelegene 3-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Modernes Bad mit Dusche und Badewanne. Frisch renoviert und neu gestrichen. Grosszügiger Keller inklusive. Lift im Gebäude vorhanden.,4460.0,3.0,119.6,Bucheggstrasse 105,8002,Zürich,47.354994,8.538731,Procimmo,2.45,0,0,0.02508361204013378
1-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Kindergarten und Schule in unmittelbarer Nähe. Ruhige Wohnlage im Quartier. Frisch renoviert und neu gestrichen. Lift im Gebäude vorhanden.,800.0,1.0,22.6,Freiestrasse 97,8037,Zürich,47.391379,8.52062,ImmoScout24,2.26,0,0,0.04424778761061947
Renovierte 3.5-Zimmer-Apartment in Pfäffikon ZH,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Schöne Aussicht auf die Umgebung. Ruhige Lage, trotz stadtnaher Position.",2360.0,3.5,96.0,Quellenstrasse 138,8330,Pfäffikon ZH,47.371594,8.535243000000001,Livit AG,0.76,0,0,0.036458333333333336
Renovierte 3-Zimmer-Apartment in Winterthur,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Gute Anbindung an öffentliche Verkehrsmittel. Ideale Verkehrsanbindung.,2050.0,3.0,83.0,Mutschellenstrasse 140,8404,Winterthur,47.486513,8.724958,Wincasa AG,18.4,0,0,0.03614457831325301
Geräumige 4-Zimmer-Wohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Ruhige Lage, trotz stadtnaher Position. Frisch renoviert und neu gestrichen.",4070.0,4.0,114.6,Albisriederstrasse 71,8004,Zürich,47.378528,8.52808,Procimmo,1.04,0,0,0.034904013961605584
3-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ideale Verkehrsanbindung. Einkaufsmöglichkeiten fussläufig erreichbar.,3190.0,3.0,84.8,Seestrasse 62,8002,Zürich,47.356341,8.539849,Homegate,2.29,0,0,0.03537735849056604
